1,dnsbpf,2016-01-15
6,dnsbpf,2016-01-16
3,dnsbpf,2016-01-17
2,dnsbpf,2016-01-18
5,dnsbpf,2016-01-19
4,dnsbpf,2016-01-20
1,dnsbpf,2016-01-21
1,dnsbpf,2016-01-22
5,dnsbpf,2016-01-26
4,dnsbpf,2016-01-28
4,dnsbpf,2016-01-30
5,dnsbpf,2016-02-02
4,dnsbpf,2016-02-03
2,dnsbpf,2016-02-04
3,dnsbpf,2016-02-08
4,dnsbpf,2016-02-10
2,dnsbpf,2016-02-11
8,dnsbpf,2016-02-12
6,dnsbpf,2016-02-14
8,dnsbpf,2016-02-16
5,dnsbpf,2016-02-19
8,dnsbpf,2016-02-20
130,dnsbpf,2016-02-21
33,dnsbpf,2016-02-22
43,dnsbpf,2016-02-23
15,dnsbpf,2016-02-24
30,dnsbpf,2016-02-25
1,dnsbpf6,2015-06-13
4,dnsbpf6,2015-06-21
2,dnsbpf6,2015-06-29
1,dnsbpf6,2015-07-09
6,dnsbpf6,2015-12-14
1,dnsbpf6,2015-12-16
1,dnsbpf6,2015-12-19
1,dnsbpf6,2015-12-21
3,dnsbpf6,2015-12-30
3,dnsbpf6,2016-01-01
1,dnsbpf6,2016-01-13
3,dnsbpf6,2016-01-17
1,dnsbpf6,2016-02-23
